step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.785398045310918,0,0.0,0.9208411808414203,0,0.0,0.9318439971032724,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9290627257809871,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9309172884230518,0,0.0,0.9307888802684228,0,0.0,0.926817256437459,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.929359200416231,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.524085885481153,0,0.0,0.9665605251504676,0,0.0,0.9728681651604786,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9728807219067916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9683808076762491,0,0.0,0.9697112167918427,0,0.0,0.9681507227406156,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9117027008006429,0,0.0,1.0,0,0.0
15.0,40,0,2,0,40,0,2.0,0.05,12.431576397518139,1,1.0,0.8364105141145907,0,0.0,0.9706318601570643,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9739717600056449,0,0.0,0.9504987977439514,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9483807462781528,1,1.0,0.6853714988334356,0,0.0,0.9796201830249079,0,0.0,0.9319040261136903,0,0.0,0.9221343652998171,0,0.0,1.0,0,0.0,0.9823856026125282,0,0.0,0.5874059559916568,2,2.0
20.0,56,0,8,0,56,0,24.0,0.42857142857142855,10.788392122997509,3,9.0,0.6897261217836461,1,2.0,0.7979176543863393,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9571060700647797,0,0.0,0.9356010955313376,0,0.0,1.0,0,0.0,1.0,2,4.0,0.6238059030124748,2,9.0,0.49962447854117487,0,0.0,0.9485656681170058,0,0.0,0.9359119864135638,0,0.0,0.9081537471078803,0,0.0,1.0,0,0.0,0.9511119425387667,0,0.0,0.9434194277177076,8,24.0
25.0,72,0,6,0,72,0,27.0,0.375,9.691797786804178,0,4.0,0.7180608330648995,2,10.0,0.7040615743782365,0,0.0,0.8537138439877263,0,0.0,1.0,0,0.0,0.9768958508569622,0,0.0,0.9651336791925761,0,0.0,0.9575697337231258,0,0.0,1.0,3,15.0,0.5053652914170567,0,3.0,0.6361883618460196,1,6.0,0.6553441685324388,0,0.0,0.5543475616167512,0,0.0,0.9531644088845928,0,4.0,0.44602673214040156,0,0.0,0.7829521796924303,0,0.0,0.932049178075124,6,42.0
30.0,80,0,8,0,80,0,31.0,0.3875,9.044896929399599,2,3.0,0.7027533674726627,0,3.0,0.534706740922446,0,0.0,0.9475552491587862,0,0.0,1.0,0,0.0,0.6952703945906578,0,0.0,0.948010737850432,0,0.0,0.945308809014799,0,0.0,1.0,0,6.0,0.4595063402055325,0,0.0,0.9189817179503361,2,14.0,0.6163640051900922,2,14.0,0.1943166658237384,0,2.0,0.8257580385343465,0,4.0,0.8645094979957625,2,8.0,0.4702916125683554,0,0.0,1.0,8,54.0
35.0,96,0,6,0,96,0,19.0,0.19791666666666666,9.961183069862917,1,3.0,0.6606341823469808,3,15.0,0.4646938070585689,0,0.0,0.7539905290689952,0,0.0,1.0,2,7.0,0.5404274293872652,0,0.0,0.9993547907678048,0,0.0,0.9249573576237914,0,0.0,0.9575697337231258,0,0.0,0.8324252452245566,0,0.0,0.7689300959206579,0,9.0,0.7465911131910519,0,8.0,0.7723349235475346,0,4.0,0.8690984364632608,0,4.0,0.9385971450546952,0,3.0,0.615106296594296,0,8.0,0.41436431081003966,6,61.0
40.0,112,0,9,0,112,0,25.0,0.22321428571428573,9.663869869377525,2,9.0,0.6100004789923692,1,15.0,0.6657774903820304,1,4.0,0.46460962584439836,0,0.0,0.9477640474277168,0,0.0,0.6364651973869458,0,2.0,0.5372461616600176,0,0.0,0.9387346359290408,0,0.0,0.9340156388365053,1,5.0,0.632727158514173,2,5.0,0.5867896494425665,1,6.0,0.4570868334697499,0,8.0,0.9085819348477703,0,4.0,0.881453984067597,1,1.0,0.4975322701538974,0,0.0,0.9472390843692174,0,8.0,0.8870807671701861,9,67.0
45.0,120,0,15,0,120,0,48.0,0.4,8.62358620199575,0,7.0,0.6202828834849631,3,15.0,0.6606923974837361,1,1.0,0.0008147665728810679,0,0.0,0.9510585603559427,0,0.0,0.9410567932500156,0,4.0,0.852425179476962,1,3.0,0.4475060607558077,0,0.0,0.6325336429384255,3,16.0,0.6537689582170482,0,2.0,0.5673986023323774,1,16.0,0.3888147531461497,0,4.0,0.924822599053049,2,8.0,0.2461903574601445,4,17.0,0.35393714250846237,0,2.0,0.7161669689678369,0,6.0,0.9205547436805639,15,101.0
50.0,136,0,31,0,136,0,147.0,1.0808823529411764,8.392910362164576,2,4.0,0.7173215106125194,5,30.0,0.5181763029595163,1,6.0,0.0,2,2.0,0.0048965261485933,1,1.0,0.7272573900751688,0,4.0,0.9165369467271566,1,8.0,0.3351340631180682,1,5.0,0.6670789875713968,0,8.0,0.7844777593112556,0,0.0,0.9764626260824172,3,23.0,0.640641216004249,0,0.0,0.580015714262668,6,33.0,0.2480264557563495,5,44.0,0.5193041027029356,2,9.0,0.6313397810962319,2,8.0,0.48137789027716466,31,185.0
55.0,152,0,17,0,152,0,63.0,0.4144736842105263,8.253371619323232,0,0.0,0.7784612660422154,3,30.0,0.35041595312581825,0,2.0,0.4043222517175929,2,18.0,0.26534998020161094,2,8.0,0.632397437426879,1,5.0,0.6240417243138116,0,2.0,0.7120949230634871,0,6.0,0.6275400336202168,1,5.0,0.7119074897999612,0,0.0,0.6089905535067219,0,14.0,0.6711345969357168,1,11.0,0.35339588032534763,1,33.0,0.6844947087169182,0,34.0,0.5744309195133035,0,8.0,0.7656099385220579,6,35.0,0.2643053142417193,17,211.0
60.0,158,0,23,2,160,0,81.0,0.5126582278481012,8.513622976823088,2,4.0,0.6994347915687876,3,24.0,0.65124252763862,0,8.0,0.7841856540992067,0,6.0,0.9119892737136878,0,2.0,0.6294380759778542,7,30.0,0.35816451650423115,1,4.0,5.94363002523848e-05,0,4.0,0.599298548652441,0,2.0,0.5428351194352923,3,15.0,0.4448997661254804,2,6.0,0.49407861415929966,1,16.0,0.8063555744264275,0,8.0,0.7978295558754028,1,5.0,0.541389651174183,2,8.0,0.4801224418173507,1,35.0,0.49169962354596153,23,177.0
65.0,172,0,18,4,176,0,98.0,0.5697674418604651,9.054560019643244,0,1.0,0.7130555326257727,3,37.0,0.6653672175857916,0,8.0,0.8945512515929271,0,6.0,0.8790317186129845,0,0.0,0.9513234410157132,3,39.0,0.5091312213126189,0,2.0,0.41890014398276454,0,4.0,0.9794976981894115,1,5.0,0.5619001833116346,0,10.0,0.7042405886766693,1,11.0,0.39597858418344967,0,8.0,0.8939493494953596,2,9.0,0.3783052713911428,1,14.0,0.39446297715203843,6,35.0,0.3321500567988667,1,13.0,0.7581241096708727,18,202.0
70.0,184,0,25,8,192,0,95.0,0.5163043478260869,8.70250847190153,2,6.0,0.7080001057736945,1,21.0,0.368524323671938,0,4.0,0.9342787200091717,2,9.0,0.4567039223617531,1,7.0,0.5508221729264942,4,27.0,0.5141882772600801,0,4.0,0.8866335442093243,1,5.0,0.007079488988835166,1,7.0,0.5685712505028556,0,3.0,0.9069845766001934,2,11.0,0.669201633070048,2,6.0,0.5871831520953018,7,34.0,0.08211206638317436,1,19.0,0.7658161401075692,0,34.0,0.6023534811565678,1,14.0,0.7698341645892487,25,211.0
75.0,190,0,26,10,200,0,138.0,0.7263157894736842,7.941651012967099,0,3.0,0.6267402480458609,2,13.0,0.48838014895686205,2,9.0,0.41749194183348876,1,8.0,0.12043362343177051,3,19.0,0.6254046197021478,4,38.0,0.3989742634532514,0,4.0,0.9065534982333404,0,4.0,0.4552110376982554,1,9.0,0.7722154005247469,1,4.0,0.5619288161637044,4,28.0,0.5988042465094984,2,7.0,0.1079780530598209,2,46.0,0.4708858454161475,1,24.0,0.8717711250402717,2,10.0,0.7038246796239767,1,4.0,0.5290901174758207,26,230.0
80.0,203,0,41,13,216,0,210.0,1.0344827586206897,7.982831221645913,3,6.0,0.6408810352771085,2,12.0,0.6028171201342337,7,33.0,0.4274132036813911,0,2.0,0.5392285539205541,5,38.0,0.6454523160977073,4,58.0,0.4212805972275467,0,0.0,0.7896069944221277,0,4.0,0.8864101721086234,0,4.0,0.853982085581371,6,24.0,0.3031760069854286,1,21.0,0.39570750103771035,5,32.0,0.292181813640353,0,18.0,0.7373670743670412,0,2.0,0.46360136317481676,3,20.0,0.620238178375305,5,21.0,0.34367396487679075,41,295.0
